"","date","outbrk_days","case","case_incrs","death","test","test_pos","hos","residential","grocery","park","retail","transit","workplace","punemp","ppov","pincome","pnoveh","puninsur","page65","black_deaths","white_deaths"
"103",2020-05-03,104,1161424,25714,62533,7078983,16.4066505033279,52686,7.27756537274939,-3.33014073591215,59.1039729656846,-23.2510314969517,-26.0897041322699,-26.8919682389167,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,34.7,13.1
"104",2020-05-04,105,1183913,22489,63545,7310275,16.1951910153859,52482,13.7577572447723,-2.61123435639247,25.0092543484408,-19.9396920886829,-25.0483198732277,-34.925282049223,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,37.2,14.3
"105",2020-05-05,106,1206281,22368,65988,7581096,15.9116966728821,53315,14.6094766767874,1.91877260942969,27.5458992239662,-18.8409939567454,-22.8862682422364,-36.2534603835255,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,37.2,14.3
"106",2020-05-06,107,1231290,25009,67920,7835043,15.715165826148,52629,14.7446959711285,-0.683090861215741,33.8008230086471,-20.9601883722793,-22.8500935477748,-36.3652232008138,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,37.2,14.3
"107",2020-05-07,108,1258717,27427,70657,8136536,15.4699370837909,51519,14.6682875737359,0.994011339314822,45.2393218736069,-21.156306471521,-22.6493893727605,-36.2466643915326,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,40.9,15.8
"108",2020-05-08,109,1286195,27478,72431,8433625,15.2507966621708,49831,16.0292197315421,-0.0957847531066181,19.4709576993624,-24.8209979037735,-24.7247635228753,-35.6028192308172,14.7,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,40.9,15.8
"109",2020-05-09,110,1310987,24792,73862,8725199,15.0252962711796,48620,8.43936765907806,10.7659717183336,30.1186378835157,-22.7746334098264,-21.821843300532,-22.5279118743188,14.7,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,40.9,15.8
"110",2020-05-10,111,1332465,21478,74883,8991425,14.819286153196,47020,5.54966031502178,7.59968721063377,38.6790463038053,-19.1143271611103,-24.352194006995,-23.2981485856319,14.7,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,40.9,15.8
"111",2020-05-11,112,1350640,18175,75767,9372907,14.4100437569689,46393,13.7156556727448,-5.95539603612363,15.3084073744894,-22.6963594907988,-24.0242279432482,-33.45178099955,14.7,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,42.8,16.6
"112",2020-05-12,113,1373259,22619,77237,9681134,14.1848981741189,47469,14.0305869004278,-1.54491309994171,33.631259298124,-20.1811520164052,-21.5233020554665,-34.1735694479093,14.7,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,42.8,16.6
